Rank, Title, Year, Rank
1, The Shawshank Redemption, 1994, 9.3
2, The Godfather, 1972, 9.2
3, The Dark Knight, 2008, 9
4, The Godfather: Part II, 1974, 9
5, The Lord of the Rings: The Return of the King, 2003, 8.9
6, Pulp Fiction, 1994, 8.9
7, Schindler's List, 1993, 8.9
8, 12 Angry Men, 1957, 8.9
9, Inception, 2010, 8.8
10, Fight Club, 1999, 8.8
11, The Lord of the Rings: The Fellowship of the Ring, 2001, 8.8
12, Forrest Gump, 1994, 8.8
13, Il buono, il brutto, il cattivo, 1966, 8.8
14, The Lord of the Rings: The Two Towers, 2002, 8.7
15, The Matrix, 1999, 8.7
16, Goodfellas, 1990, 8.7
17, Star Wars: Episode V - The Empire Strikes Back, 1980, 8.7
18, One Flew Over the Cuckoo's Nest, 1975, 8.7
19, Seppuku, 1962, 8.7
20, Gisaengchung, 2019, 8.6
21, Interstellar, 2014, 8.6
22, Cidade de Deus, 2002, 8.6
23, Sen to Chihiro no kamikakushi, 2001, 8.6
24, Saving Private Ryan, 1998, 8.6
25, The Green Mile, 1999, 8.6
26, La vita è bella, 1997, 8.6
27, Se7en, 1995, 8.6
28, The Silence of the Lambs, 1991, 8.6
29, Star Wars, 1977, 8.6
30, Shichinin no samurai, 1954, 8.6
31, It's a Wonderful Life, 1946, 8.6
32, Joker, 2019, 8.5
33, Ayla: The Daughter of War, 2017, 8.5
34, Avengers: Infinity War, 2018, 8.5
35, Whiplash, 2014, 8.5
36, The Intouchables, 2011, 8.5
37, The Prestige, 2006, 8.5
38, The Departed, 2006, 8.5
39, The Pianist, 2002, 8.5
40, Gladiator, 2000, 8.5
41, American History X, 1998, 8.5
42, The Usual Suspects, 1995, 8.5
43, Léon, 1994, 8.5
44, The Lion King, 1994, 8.5
45, Terminator 2: Judgment Day, 1991, 8.5
46, Nuovo Cinema Paradiso, 1988, 8.5
47, Hotaru no haka, 1988, 8.5
48, Back to the Future, 1985, 8.5
49, Once Upon a Time in the West, 1968, 8.5
50, Tengoku to jigoku, 1963, 8.5
51, Psycho, 1960, 8.5
52, Casablanca, 1942, 8.5
53, Modern Times, 1936, 8.5
54, City Lights, 1931, 8.5
55, 1917, 2019, 8.4
56, Capharnaüm, 2018, 8.4
57, Kimi no na wa., 2016, 8.4
58, Dangal, 2016, 8.4
59, Spider-Man: Into the Spider-Verse, 2018, 8.4
60, Avengers: Endgame, 2019, 8.4
61, Drishyam, 2013, 8.4
62, Coco, I) (2017, 8.4
63, Django Unchained, 2012, 8.4
64, The Dark Knight Rises, 2012, 8.4
65, 3 Idiots, 2009, 8.4
66, Taare Zameen Par, 2007, 8.4
67, WALL·E, 2008, 8.4
68, The Lives of Others, 2006, 8.4
69, Oldeuboi, 2003, 8.4
70, Memento, 2000, 8.4
71, Mononoke-hime, 1997, 8.4
72, Once Upon a Time in America, 1984, 8.4
73, Raiders of the Lost Ark, 1981, 8.4
74, The Shining, 1980, 8.4
75, Apocalypse Now, 1979, 8.4
76, Alien, 1979, 8.4
77, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, 1964, 8.4
78, Witness for the Prosecution, 1957, 8.4
79, Paths of Glory, 1957, 8.4
80, Rear Window, 1954, 8.4
81, Sunset Blvd., 1950, 8.4
82, The Great Dictator, 1940, 8.4
83, Uri: The Surgical Strike, 2019, 8.3
84, Andhadhun, 2018, 8.3
85, Jagten, 2012, 8.3
86, Jodaeiye Nader az Simin, 2011, 8.3
87, Incendies, 2010, 8.3
88, Babam ve Oglum, 2005, 8.3
89, Toy Story 3, 2010, 8.3
90, Inglourious Basterds, 2009, 8.3
91, Eternal Sunshine of the Spotless Mind, 2004, 8.3
92, Amélie, 2001, 8.3
93, Snatch, 2000, 8.3
94, Requiem for a Dream, 2000, 8.3
95, American Beauty, 1999, 8.3
96, Good Will Hunting, 1997, 8.3
97, Bacheha-Ye aseman, 1997, 8.3
98, Eskiya, 1996, 8.3
99, Toy Story, 1995, 8.3
100, Braveheart, 1995, 8.3
101, Reservoir Dogs, 1992, 8.3
102, Full Metal Jacket, 1987, 8.3
103, Idi i smotri, 1985, 8.3
104, Aliens, 1986, 8.3
105, Amadeus, 1984, 8.3
106, Scarface, 1983, 8.3
107, Star Wars: Episode VI - Return of the Jedi, 1983, 8.3
108, Das Boot, 1981, 8.3
109, Taxi Driver, 1976, 8.3
110, The Sting, 1973, 8.3
111, A Clockwork Orange, 1971, 8.3
112, 2001: A Space Odyssey, 1968, 8.3
113, Per qualche dollaro in più, 1965, 8.3
114, Lawrence of Arabia, 1962, 8.3
115, The Apartment, 1960, 8.3
116, North by Northwest, 1959, 8.3
117, Vertigo, 1958, 8.3
118, Singin' in the Rain, 1952, 8.3
119, Ikiru, 1952, 8.3
120, Ladri di biciclette, 1948, 8.3
121, Double Indemnity, 1944, 8.3
122, Citizen Kane, 1941, 8.3
123, M - Eine Stadt sucht einen Mörder, 1931, 8.3
124, Metropolis, 1927, 8.3
125, The Kid, 1921, 8.3
126, Portrait de la jeune fille en feu, 2019, 8.2
127, K.G.F: Chapter 1, 2018, 8.2
128, Green Book, 2018, 8.2
129, Koe no katachi, 2016, 8.2
130, Three Billboards Outside Ebbing, Missouri, 2017, 8.2
131, Talvar, 2015, 8.2
132, Baahubali 2: The Conclusion, 2017, 8.2
133, Klaus, 2019, 8.2
134, Drishyam, 2015, 8.2
135, Queen, 2013, 8.2
136, Mandariinid, 2013, 8.2
137, Kis Uykusu, 2014, 8.2
138, Gully Boy, 2019, 8.2
139, Bhaag milkha bhaag, 2013, 8.2
140, Inside Out, I) (2015, 8.2
141, Gangs of Wasseypur, 2012, 8.2
142, Paan Singh Tomar, 2012, 8.2
143, El secreto de sus ojos, 2009, 8.2
144, Warrior, 2011, 8.2
145, Up, 2009, 8.2
146, The Wolf of Wall Street, 2013, 8.2
147, Chak De! India, 2007, 8.2
148, There Will Be Blood, 2007, 8.2
149, Pan's Labyrinth, 2006, 8.2
150, V for Vendetta, 2005, 8.2
151, Rang De Basanti, 2006, 8.2
152, Black, 2005, 8.2
153, Batman Begins, 2005, 8.2
154, Swades: We, the People, 2004, 8.2
155, Der Untergang, 2004, 8.2
156, Hauru no ugoku shiro, 2004, 8.2
157, A Beautiful Mind, 2001, 8.2
158, Hera Pheri, 2000, 8.2
159, Lock, Stock and Two Smoking Barrels, 1998, 8.2
160, L.A. Confidential, 1997, 8.2
161, Heat, 1995, 8.2
162, Casino, 1995, 8.2
163, Andaz Apna Apna, 1994, 8.2
164, Unforgiven, 1992, 8.2
165, Indiana Jones and the Last Crusade, 1989, 8.2
166, Tonari no Totoro, 1988, 8.2
167, Die Hard, 1988, 8.2
168, Ran, 1985, 8.2
169, Raging Bull, 1980, 8.2
170, Stalker, 1979, 8.2
171, The Message, 1976, 8.2
172, Sholay, 1975, 8.2
173, Monty Python and the Holy Grail, 1975, 8.2
174, Chinatown, 1974, 8.2
175, Andrei Rublev, 1966, 8.2
176, The Great Escape, 1963, 8.2
177, To Kill a Mockingbird, 1962, 8.2
178, Yôjinbô, 1961, 8.2
179, Judgment at Nuremberg, 1961, 8.2
180, Some Like It Hot, 1959, 8.2
181, Smultronstället, 1957, 8.2
182, Det sjunde inseglet, 1957, 8.2
183, Dial M for Murder, 1954, 8.2
184, Tôkyô monogatari, 1953, 8.2
185, Rashômon, 1950, 8.2
186, All About Eve, 1950, 8.2
187, The Treasure of the Sierra Madre, 1948, 8.2
188, The Gold Rush, 1925, 8.2
189, Sherlock Jr., 1924, 8.2
190, Pink, III) (2016, 8.1
191, Contratiempo, 2016, 8.1
192, Ah-ga-ssi, 2016, 8.1
193, Mommy, I) (2014, 8.1
194, Haider, 2014, 8.1
195, Logan, 2017, 8.1
196, Room, I) (2015, 8.1
197, Relatos salvajes, 2014, 8.1
198, Bãhubali: The Beginning, 2015, 8.1
199, PK, 2014, 8.1
200, OMG: Oh My God!, 2012, 8.1
201, The Grand Budapest Hotel, 2014, 8.1
202, Gone Girl, 2014, 8.1
203, Ookami kodomo no Ame to Yuki, 2012, 8.1
204, Hacksaw Ridge, 2016, 8.1
205, Barfi!, 2012, 8.1
206, 12 Years a Slave, 2013, 8.1
207, Rush, I) (2013, 8.1
208, Ford v Ferrari, 2019, 8.1
209, Spotlight, I) (2015, 8.1
210, Song of the Sea, 2014, 8.1
211, Kahaani, 2012, 8.1
212, Udaan, 2010, 8.1
213, Zindagi Na Milegi Dobara, 2011, 8.1
214, The Help, 2011, 8.1
215, Prisoners, 2013, 8.1
216, Mad Max: Fury Road, 2015, 8.1
217, A Wednesday, 2008, 8.1
218, Gran Torino, 2008, 8.1
219, Harry Potter and the Deathly Hallows: Part 2, 2011, 8.1
220, Shutter Island, 2010, 8.1
221, Okuribito, 2008, 8.1
222, Hachi: A Dog's Tale, 2009, 8.1
223, Mary and Max, 2009, 8.1
224, How to Train Your Dragon, 2010, 8.1
225, Tropa de Elite, 2007, 8.1
226, Into the Wild, 2007, 8.1
227, No Country for Old Men, 2007, 8.1
228, Lage Raho Munna Bhai, 2006, 8.1
229, Million Dollar Baby, 2004, 8.1
230, Hotel Rwanda, 2004, 8.1
231, Taegukgi hwinalrimyeo, 2004, 8.1
232, Munna Bhai M.B.B.S., 2003, 8.1
233, Salinui chueok, 2003, 8.1
234, Dil Chahta Hai, 2001, 8.1
235, Kill Bill: Vol. 1, 2003, 8.1
236, Finding Nemo, 2003, 8.1
237, Catch Me If You Can, 2002, 8.1
238, Amores perros, 2000, 8.1
239, Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni, 1997, 8.1
240, Lagaan: Once Upon a Time in India, 2001, 8.1
241, The Sixth Sense, 1999, 8.1
242, La leggenda del pianista sull'oceano, 1998, 8.1
243, The Truman Show, 1998, 8.1
244, Crna macka, beli macor, 1998, 8.1
245, The Big Lebowski, 1998, 8.1
246, Faa yeung nin wa, 2000, 8.1
247, Trainspotting, 1996, 8.1
248, Fargo, 1996, 8.1
249, Underground, 1995, 8.1
250, La haine, 1995, 8.1